"","X.1","X_7","SAR","case_7","closest_SAR_7","X_10","case_10","closest_SAR_10","X","case_14","closest_SAR_14","clade1_cR0_7","clade1_cR0_10","clade1_cR0_14","clade2_R0_7","clade2_R0_10","clade2_R0_14"
"83",83,83,0.41,9.99842616136171e-05,0.744157433364177,83,9.99834756151285e-05,0.459569030424409,83,0.0294364629570774,0.513326074201865,1.0036428994807,1.00339825725101,1.65206630385144,0.552965770867613,0.895171907238822,1.31952616206424
"84",84,84,0.415,9.99842616136171e-05,0.744157433364177,84,9.99834756151285e-05,0.459569030424409,84,0.0311855919541474,0.52417376971683,1.0036428994807,1.00339825725101,1.68697805514437,0.559709255878194,0.906088637814906,1.33561794452844
"85",85,85,0.42,9.99842616136171e-05,0.744157433364177,85,9.99834756151285e-05,0.459569030424409,85,0.0330186321265128,0.535526435559248,1.0036428994807,1.00339825725101,1.72351498096936,0.566452740888775,0.917005368390989,1.35170972699264
"86",86,86,0.425,9.99842616136171e-05,0.744157433364177,86,9.99834756151285e-05,0.459569030424409,86,0.0348434488336444,0.546820051719031,1.0036428994807,1.00339825725101,1.75986186386484,0.573196225899355,0.927922098967072,1.36780150945683
"87",87,87,0.43,9.99842616136171e-05,0.744157433364177,87,9.99834756151285e-05,0.459569030424409,87,0.0366601721868282,0.558062330602743,1.0036428994807,1.00339825725101,1.79604352510454,0.579939710909936,0.938838829543155,1.38389329192103
"88",88,88,0.435,9.99842616136171e-05,0.744157433364177,88,9.99834756151285e-05,0.459569030424409,88,0.0385591575426718,0.569818935395109,1.0036428994807,1.00339825725101,1.8338804704718,0.586683195920516,0.949755560119238,1.39998507438523
"89",89,89,0.44,9.99842616136171e-05,0.744157433364177,89,9.99834756151285e-05,0.459569030424409,89,0.0404494956361861,0.581533490991892,1.0036428994807,1.00339825725101,1.87158208653744,0.593426680931097,0.960672290695322,1.41607685684943
"90",90,90,0.445,9.99842616136171e-05,0.744157433364177,90,9.99834756151285e-05,0.459569030424409,90,0.0423313190846287,0.593212256660583,1.0036428994807,1.00339825725101,1.90916851785562,0.600170165941678,0.971589021271405,1.43216863931363
"91",91,91,0.45,9.99842616136171e-05,0.744157433364177,91,9.99834756151285e-05,0.459569030424409,91,0.0442047552458523,0.604860838141948,1.0036428994807,1.00339825725101,1.94665780569855,0.606913650952258,0.982505751847488,1.44826042177782
"92",92,92,0.455,9.99842616136171e-05,0.744157433364177,92,9.99834756151285e-05,0.459569030424409,92,0.0461585401476998,0.617037229986669,1.0036428994807,1.00339825725101,1.98584577545136,0.613657135962839,0.993422482423571,1.46435220424202
"93",93,93,0.46,9.99842616136171e-05,0.744157433364177,93,0.00019993395868001,0.461111997507454,93,0.0481033897903181,0.629191259204491,1.0036428994807,1.00676708843768,2.0249617742987,0.62040062097342,1.00433921299965,1.48044398670622
"94",94,94,0.465,9.99842616136171e-05,0.744157433364177,94,0.000798948601762772,0.470114450847707,94,0.0500394345322761,0.641327654286805,1.0036428994807,1.02642255996554,2.06402102021154,0.627144105984,1.01525594357574,1.49653576917042
"95",95,95,0.47,9.99842616136171e-05,0.744157433364177,95,0.00149632433713831,0.480150289606957,95,0.0519667999678426,0.653450706496223,1.0036428994807,1.04833426953349,2.10303732400275,0.633887590994581,1.02617267415182,1.51262755163462
"96",96,96,0.475,9.99842616136171e-05,0.744157433364177,96,0.00219213579614097,0.489784957442709,96,0.0539726243121134,0.666114779510322,1.0036428994807,1.06937008412409,2.14379482561347,0.640631076005162,1.0370894047279,1.52871933409881
"97",97,97,0.48,9.99842616136171e-05,0.744157433364177,97,0.00298546314845594,0.50040254970933,97,0.0559692282976115,0.678772616733512,1.0036428994807,1.09255196295237,2.18453225822603,0.647374561015742,1.04800613530399,1.54481111656301
"98",98,98,0.485,9.99842616136171e-05,0.744157433364177,98,0.00367799872882024,0.509410574681258,98,0.0579567407916358,0.691427944987015,1.0036428994807,1.1122195992806,2.22526161607971,0.654118046026323,1.05892286588007,1.56090289902721
"99",99,99,0.49,9.99842616136171e-05,0.744157433364177,99,0.00446763685115847,0.519437334096029,99,0.0599352862727149,0.704084182542522,1.0036428994807,1.13411148549705,2.2659939003914,0.660861531036904,1.06983959645615,1.57699468149141
"100",100,100,0.495,9.99842616136171e-05,0.744157433364177,100,0.00525534883116274,0.52922189740064,100,0.0619904253040071,0.717295060022704,1.0036428994807,1.15547457377727,2.30851121370585,0.667605016047484,1.08075632703224,1.59308646395561
"101",101,101,0.5,9.99842616136171e-05,0.744157433364177,101,0.00613925557197892,0.539983761798663,101,0.0640360638765453,0.730513643918912,1.0036428994807,1.17897144860318,2.35105332901435,0.674348501058065,1.09167305760832,1.60917824641981
"102",102,102,0.505,9.99842616136171e-05,0.744157433364177,102,0.00692296115402824,0.549361772269379,102,0.0659876709646713,0.743191498966838,1.0036428994807,1.19944689133288,2.39185518612313,0.681091986068646,1.1025897881844,1.625270028884
"103",103,103,0.51,9.99842616136171e-05,0.744157433364177,103,0.00780242277716059,0.559728664173361,103,0.0680993471211647,0.756985858950774,1.0036428994807,1.22208140449831,2.43625035414199,0.687835471079226,1.11350651876049,1.6413618113482
"104",104,104,0.515,9.99842616136171e-05,0.744157433364177,104,0.00867957836424638,0.56992549983995,104,0.0701172355251256,0.770244911525115,1.0036428994807,1.24434462603846,2.47892271208352,0.694578956089807,1.12442324933657,1.6574535938124
"105",105,105,0.52,9.99842616136171e-05,0.744157433364177,105,0.00955445851878978,0.579972838834521,105,0.0722096206229436,0.784076231384182,1.0036428994807,1.26628144460052,2.52343683015649,0.701322441100388,1.13533997991265,1.6735453762766
"106",106,106,0.525,9.99842616136171e-05,0.744157433364177,106,0.0104270924191409,0.589887742855213,106,0.0742092282949794,0.797375653707312,1.0036428994807,1.28792911177684,2.56623911234116,0.708065926110968,1.14625671048874,1.6896371587408
"107",107,107,0.53,9.99842616136171e-05,0.744157433364177,107,0.0112975079556259,0.599684571203693,107,0.0762828120681756,0.811253771725426,1.0036428994807,1.30931897889294,2.61090384357315,0.714809411121549,1.15717344106482,1.70572894120499
"108",108,108,0.535,9.99842616136171e-05,0.744157433364177,108,0.012262067005486,0.610446269190443,108,0.0783469827397204,0.82515914685875,1.0036428994807,1.33281549038545,2.65565629791885,0.721552896132129,1.1680901716409,1.72182072366919
"109",109,109,0.54,9.99842616136171e-05,0.744157433364177,109,0.0131278857724968,0.620031932739092,109,0.0804838600884863,0.839651900084523,1.0036428994807,1.35374431165616,2.70229914436214,0.72829638114271,1.17900690221699,1.73791250613339
"110",110,110,0.545,9.99842616136171e-05,0.744157433364177,110,0.0140873993651173,0.63058306030535,110,0.0825291859327862,0.853619233416285,1.0036428994807,1.37678107503911,2.74725100227807,0.735039866153291,1.18992363279307,1.75400428859759
"111",111,111,0.55,9.99842616136171e-05,0.744157433364177,111,0.0150443050133461,0.641039694846601,111,0.0846467061282002,0.868180543277899,1.0036428994807,1.39961152744299,2.79411448841545,0.741783351163872,1.20084036336915,1.77009607106179
"112",112,112,0.555,9.99842616136171e-05,0.744157433364177,112,0.0159986338428929,0.65141120508496,112,0.0867545377552622,0.882779757311183,1.0036428994807,1.42225612403084,2.84109996368982,0.748526836174452,1.21175709394524,1.78618785352598
"113",113,113,0.56,9.99842616136171e-05,0.744157433364177,113,0.0169504158139326,0.661705813266622,113,0.0888527977719906,0.897418719136132,1.0036428994807,1.44473281681195,2.88821336152758,0.755270321185033,1.22267382452132,1.80227963599018
"114",114,114,0.565,9.99842616136171e-05,0.744157433364177,114,0.0179944687988474,0.672949706959486,114,0.090941599960474,0.912099170581705,1.0036428994807,1.46928212842617,2.93546028775525,0.762013806195613,1.2335905550974,1.81837141845438
"115",115,115,0.57,9.99842616136171e-05,0.744157433364177,115,0.018940995176515,0.683105511612926,115,0.0931008489239502,0.927389935445353,1.0036428994807,1.49145576506316,2.98467142013466,0.768757291206194,1.24450728567348,1.83446320091858
"116",116,116,0.575,9.99842616136171e-05,0.744157433364177,116,0.0199793333033139,0.69421142710892,116,0.0951707115827185,0.942159977281376,1.0036428994807,1.51570382251726,3.03220668017714,0.775500776216774,1.25542401624957,1.85055498338278
"117",117,117,0.58,9.99842616136171e-05,0.744157433364177,117,0.0210147287138865,0.705255332738857,117,0.0973105221175511,0.957547063182776,1.0036428994807,1.5398164909712,3.08172780799379,0.782244261227355,1.26634074682565,1.86664676584697
"118",118,118,0.585,9.99842616136171e-05,0.744157433364177,118,0.0220472147487039,0.716243310632198,118,0.0994406012439945,0.972985597818353,1.0036428994807,1.56380704981871,3.13141451617813,0.788987746237936,1.27725747740173,1.88273854831117
"119",119,119,0.59,9.99842616136171e-05,0.744157433364177,119,0.023076823639967,0.727180826902511,119,0.101561060592657,0.98847708465659,1.0036428994807,1.58768743347762,3.18127164342771,0.795731231248517,1.28817420797782,1.89883033077537
"120",120,120,0.595,9.99842616136171e-05,0.744157433364177,120,0.024103586581796,0.738072816491534,120,0.103750010999237,1.00459979279436,1.0036428994807,1.61146841663379,3.23316026584506,0.802474716259097,1.2990909385539,1.91492211323957
"121",121,121,0.6,9.99842616136171e-05,0.744157433364177,121,0.0251275337936884,0.748923753479581,121,0.105851208245335,1.02020351082511,1.0036428994807,1.63515976775311,3.28337859308176,0.809218201269678,1.31000766912998,1.93101389570377
"122",122,122,0.605,9.99842616136171e-05,0.744157433364177,122,0.0261486945781134,0.759737709811153,122,0.108020408549485,1.03644548514998,1.0036428994807,1.65877037729977,3.33565105660674,0.815961686280259,1.32092439970607,1.94710567816796
"123",123,123,0.61,9.99842616136171e-05,0.744157433364177,123,0.0272595436462135,0.77149693859631,123,0.110179722482118,1.05275027676437,1.0036428994807,1.68444484378578,3.38812568856331,0.822705171290839,1.33184113028215,1.96319746063216
"124",124,124,0.615,9.99842616136171e-05,0.744157433364177,124,0.028274969200068,0.782245225680552,124,0.112329259890028,1.06911922395205,1.0036428994807,1.7079120746364,3.44080679602573,0.82944865630142,1.34275786085823,1.97928924309636
"125",125,125,0.62,9.99842616136171e-05,0.744157433364177,125,0.0293796264622889,0.793940567059122,125,0.114469127993874,1.08555361119056,1.0036428994807,1.73344705280143,3.49369851290062,0.836192141312,1.35367459143432,1.99538102556056
"126",126,126,0.625,9.99842616136171e-05,0.744157433364177,126,0.0304811029408735,0.805608138967565,126,0.116599431493126,1.10205467319434,1.0036428994807,1.75892140060174,3.54680481293924,0.842935626322581,1.3645913220104,2.01147280802476
"127",127,127,0.63,9.99842616136171e-05,0.744157433364177,127,0.0315794314415544,0.817251348306618,127,0.118795843249074,1.11921661555756,1.0036428994807,1.78434255648082,3.60203806157365,0.849679111333162,1.37550805258648,2.02756459048895
"128",128,128,0.635,9.99842616136171e-05,0.744157433364177,128,0.0326746438467369,0.828873332862465,128,0.120906989491618,1.13585703553956,1.0036428994807,1.80971737131193,3.6555928652663,0.856422596343742,1.38642478316257,2.04365637295315
"129",129,129,0.64,9.99842616136171e-05,0.744157433364177,129,0.0337667711635058,0.840476990639902,129,0.123083771753966,1.15316572705108,1.0036428994807,1.8350521724426,3.71129840497495,0.863166081354323,1.39734151373865,2.05974815541735
"130",130,130,0.645,9.99842616136171e-05,0.744157433364177,130,0.0348558435679028,0.852065005208877,130,0.125250725485777,1.17055085906656,1.0036428994807,1.86035281903485,3.76724995747585,0.869909566364904,1.40825824431473,2.07583993788155
"131",131,131,0.65,9.99842616136171e-05,0.744157433364177,131,0.0359418904458607,0.863639867709129,131,0.127407954336145,1.1880135782213,1.0036428994807,1.88562475010894,3.82345121305014,0.876653051375484,1.41917497489082,2.09193172034575
"132",132,132,0.655,9.99842616136171e-05,0.744157433364177,132,0.0371150602002572,0.876167144832104,132,0.129555559658541,1.2055549946205,1.0036428994807,1.91297613194963,3.87990574441211,0.883396536386065,1.4300917054669,2.10802350280994
"133",133,133,0.66,9.99842616136171e-05,0.744157433364177,133,0.0381948950334224,0.887721870742414,133,0.131767198827327,1.22378524716745,1.0036428994807,1.9382040978783,3.93857719606269,0.890140021396646,1.44100843604298,2.12411528527414
"134",134,134,0.665,9.99842616136171e-05,0.744157433364177,134,0.0393613997902692,0.900232225839771,134,0.133895529011925,1.2414900598418,1.0036428994807,1.96551853308009,3.99555759488769,0.896883506407226,1.45192516661907,2.14020706773834
"135",135,135,0.67,9.99842616136171e-05,0.744157433364177,135,0.0404351405709039,0.911775548537098,135,0.136087433749815,1.259891545768,1.0036428994807,1.99072160184799,4.05478013659618,0.903626991417807,1.46284189719515,2.15629885020254
"136",136,136,0.675,9.99842616136171e-05,0.744157433364177,136,0.041595104966724,0.924277817211015,136,0.138269457622308,1.27838173378081,1.0036428994807,2.01801838158859,4.11428815324103,0.910370476428388,1.47375862777123,2.17239063266674
"137",137,137,0.68,9.99842616136171e-05,0.744157433364177,137,0.0427517156333593,0.936779005115947,137,0.140441701254694,1.29696168618122,1.0036428994807,2.04531280163641,4.17408506368554,0.917113961438968,1.48467535834732,2.18848241513093
"138",138,138,0.685,9.99842616136171e-05,0.744157433364177,138,0.043905003872231,0.949281073535288,138,0.142604263160749,1.31563243792565,1.0036428994807,2.07260914415195,4.23417419878842,0.923857446449549,1.4955920889234,2.20457419759513
"139",139,139,0.69,9.99842616136171e-05,0.744157433364177,139,0.045055000237344,0.961785863772387,139,0.144757239815676,1.33439499844619,1.0036428994807,2.09991142933772,4.294558807262,0.930600931460129,1.50650881949948,2.22066598005933
"140",140,140,0.695,9.99842616136171e-05,0.744157433364177,140,0.0462017345673919,0.97429510761778,140,0.146900725725484,1.35325035333077,1.0036428994807,2.12722343829186,4.35524206107958,0.93734441647071,1.51742555007556,2.23675776252353
"141",141,141,0.7,9.99842616136171e-05,0.744157433364177,141,0.0473452360158239,0.98681043667813,141,0.149105788959596,1.3728327287338,1.0036428994807,2.15454873337643,4.41826512610314,0.944087901481291,1.52834228065165,2.25284954498773
"142",142,142,0.705,9.99842616136171e-05,0.744157433364177,142,0.0485731163148785,1.00029705296268,142,0.151300917167216,1.39251625586317,1.0036428994807,2.18399468464872,4.48161373344194,0.950831386491871,1.53925901122773,2.26894132745193
"143",143,143,0.71,9.99842616136171e-05,0.744157433364177,143,0.0497099936477896,1.01282984386786,143,0.153415867719276,1.41166209876577,1.0036428994807,2.21135810498437,4.54323188125841,0.957574871502452,1.55017574180381,2.28503310991612
"144",144,144,0.715,9.99842616136171e-05,0.744157433364177,144,0.050843723794107,1.02537319581109,144,0.15559173090615,1.43154761719859,1.0036428994807,2.23874458372141,4.60723056862015,0.964318356513033,1.5610924723799,2.30112489238032
"145",145,145,0.72,9.99842616136171e-05,0.744157433364177,145,0.0520611748544925,1.03889472247469,145,0.157757944492418,1.45153724707655,1.0036428994807,2.26826675643418,4.67156432372735,0.971061841523613,1.57200920295598,2.31721667484452
"146",146,146,0.725,9.99842616136171e-05,0.744157433364177,146,0.0531884529996941,1.05146409014264,146,0.159984012398984,1.47228192410883,1.0036428994807,2.29571003650273,4.73832808974605,0.977805326534194,1.58292593353206,2.33330845730872
"147",147,147,0.73,9.99842616136171e-05,0.744157433364177,147,0.0543990156144289,1.06501642304339,147,0.162130898478563,1.49248607368219,1.0036428994807,2.32529946989371,4.80335224570777,0.984548811544775,1.59384266410815,2.34940023977292
"148",148,148,0.735,9.99842616136171e-05,0.744157433364177,148,0.0556060524093157,1.07858679684831,148,0.164337206758716,1.51345418150735,1.0036428994807,2.35492829282272,4.87083509166944,0.991292296555355,1.60475939468423,2.36549202223711
"149",149,149,0.74,9.99842616136171e-05,0.744157433364177,149,0.0568095938935096,1.0921765304332,149,0.166465132532266,1.53387667633675,1.0036428994807,2.38459938485212,4.93656196050362,0.998035781565936,1.61567612526031,2.38158380470131
"150",150,150,0.745,0.000199937099097713,0.746833196329653,150,0.0580096699335138,1.10578687829055,150,0.168652053007031,1.55507209921197,1.00725169297061,2.41431548497321,5.00477638733257,1.00477926657652,1.6265928558364,2.39767558716551
"151",151,151,0.75,0.000499607841258909,0.754720819912907,151,0.0591209488438448,1.11844456192475,151,0.170829263655797,1.57638443308228,1.01788970725117,2.44195158936358,5.07336707542164,1.0115227515871,1.63750958641248,2.41376736962971
"152",152,152,0.755,0.000898733497235904,0.764950085402762,152,0.0603995420756216,1.13307414096112,152,0.172996855113901,1.59781463565709,1.03168588695118,2.47389302391989,5.14233710702115,1.01826623659768,1.64842631698856,2.42985915209391
"153",153,153,0.76,0.00129736584664419,0.774899670781966,153,0.0615893949058998,1.14675328349307,153,0.175154916344967,1.61936365161607,1.04510486292441,2.50375932662652,5.21168952244704,1.02500972160826,1.65934304756465,2.4459509345581
"154",154,154,0.765,0.00169550927509521,0.784611277322807,154,0.0627758957899517,1.16045750324798,154,0.177370527798191,1.6417115018218,1.05820287755178,2.53368038159048,5.28361287125766,1.03175320661884,1.67025977814073,2.4620427170223
"155",155,155,0.77,0.00219250737251708,0.796465071477896,155,0.0639590717144558,1.17418779606949,155,0.179509497982518,1.66350471612484,1.07419005419245,2.56365836308311,5.35375120400969,1.03849669162942,1.68117650871681,2.4781344994865
